SAMPLEID,SC1,SC1_1,SC2,SC2A,SC3,SC3A,SC7,SC8_1,SC8_2,SC9,SC19,SC20,SC20A,SC20_1,SC20_2,SC20_3,SC21,SC22,SC23,SC24,SC25,SC25A,SC26,SC26A,SC26B,SC27A,SC27B,SC27C,SC27D,SC27E,SC27F,SC28,SC29,SC29A,SC30,SC31,SC32,SC33,SC33_1,SC33_2,SC33_3,SC34,SC35
3202000788-01,39,2,998,,1,,3,2,3,2,1,1,,1,1,,1,1,1,5,5,,5,1,,5,1,5,1,1,5,1,1,,1,8,5,5,5,8,8,8,5
3202000789-01,71,2,5,4,4,5,3,4,4,4,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000790-01,45,2,4,4,4,5,1,4,4,4,1,1,,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,5,5
3202000791-01,20,2,20,4,5,5,3,1,2,3,1,5,5,5,5,5,5,1,5,5,5,,5,1,,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3202000793-01,78,1,32,4,4,5,2,3,3,3,1,5,5,5,5,1,1,1,1,1,1,1,1,,,1,5,8,8,8,8,1,5,5,5,1,5,5,1,,,5,1
3202000794-01,42,1,8,4,1,,1,3,2,3,1,5,5,5,5,1,5,5,5,5,5,,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000795-01,30,1,6,3,1,,3,4,3,3,1,1,,1,1,,1,1,1,5,1,5,5,1,,5,5,1,1,1,5,1,5,1,5,5,5,1,5,5,5,5,1
3202000797-01,44,2,40,4,5,5,1,4,4,4,1,5,1,5,5,5,1,1,1,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,1,1,1,1,,,5,1
3202000799-01,30,2,1,4,1,,2,4,3,4,1,1,,5,5,5,1,5,5,5,1,5,1,,,1,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000800-01,71,2,28,4,4,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,1,5,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3202000801-01,32,2,1,4,1,,1,3,1,1,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3202000802-01,52,1,14,4,2,5,1,4,3,3,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000803-01,40,2,10,4,1,,3,1,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000804-01,38,2,37,4,1,,2,3,3,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000807-01,79,2,9,4,4,5,2,3,3,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000810-01,45,1,16,4,1,,2,3,4,4,1,5,5,1,1,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000811-01,20,1,18,4,5,5,3,2,2,3,1,1,,5,5,5,1,5,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5
3202000814-01,46,2,26,4,1,,3,3,3,2,1,5,5,5,5,5,1,1,5,5,1,1,1,,,1,5,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3202000815-01,25,2,5,3,1,,1,3,3,2,1,5,5,5,5,5,1,1,5,5,1,5,1,,,5,5,5,5,5,5,5,5,1,1,5,5,1,1,,,5,5
3202000816-01,49,2,9,4,1,,1,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,1,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000816-02,52,1,10,4,1,,1,3,3,4,1,5,5,5,5,5,5,5,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000818-01,71,2,10,4,4,5,3,2,1,3,1,5,5,5,5,5,1,1,1,5,5,,5,8,8,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3202000819-01,43,1,17,4,1,,3,2,2,3,1,1,,5,5,5,1,1,1,1,1,1,1,,,1,1,1,5,5,1,1,1,,1,5,1,1,5,5,5,5,5
3202000825-01,61,2,14,4,1,,3,1,2,3,1,1,,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,1,5,5,1,5,5,1,5,5,5,5,5,5,5,5
3202000825-02,65,1,15,4,1,,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,8,8,5,5,5,5,5,5
3202000826-01,41,1,3,4,5,5,3,4,3,5,1,5,1,5,5,5,1,1,5,5,1,5,1,,,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000827-01,58,2,2,4,3,5,2,3,2,4,1,1,,1,5,5,1,1,1,1,1,1,1,,,1,5,5,1,5,5,1,5,5,5,5,1,1,1,,,5,5
3202000828-01,37,1,3,4,2,5,2,4,1,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
3202000830-01,71,1,17,4,1,,2,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000833-01,32,1,1,4,1,,1,1,1,3,1,5,5,5,5,5,5,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000834-01,66,1,40,4,1,,2,3,1,3,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,1,1,,,1,5
3202000835-01,47,2,3,4,1,,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000837-01,40,2,20,4,5,1,1,4,4,4,1,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000838-01,23,2,4,3,5,5,3,4,4,5,1,5,5,5,5,5,1,1,1,5,1,5,1,,,5,1,5,1,1,5,1,1,,5,5,5,5,5,5,5,5,5
3202000839-01,43,2,3,4,5,1,1,4,4,3,1,1,,5,5,5,1,1,1,5,1,5,1,,,1,5,5,5,5,8,1,5,1,5,8,8,1,1,,,5,5
3202000840-01,21,2,21,4,5,5,1,3,4,2,1,1,,1,1,,1,1,1,5,1,1,1,,,5,1,5,1,1,5,1,1,,5,5,5,5,5,5,5,5,5
3202000841-01,58,1,4,4,1,,2,5,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000841-02,59,2,8,4,1,,3,3,3,1,1,5,5,5,5,5,1,1,5,5,1,5,1,,,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,1
3202000842-01,75,2,45,4,5,5,3,5,1,5,1,5,5,5,5,5,8,5,8,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5
3202000843-01,52,2,31,4,3,5,1,2,2,3,1,5,5,1,1,,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000844-01,77,2,30,4,4,5,3,4,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000845-01,43,1,2,4,1,,1,4,3,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000847-01,59,2,59,4,3,5,3,3,2,2,1,5,5,1,5,1,1,5,5,5,5,,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000848-01,69,2,27,4,1,,3,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,1,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3202000849-01,27,2,7,3,1,,3,3,3,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000850-01,23,2,23,4,5,5,3,1,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,5,5
3202000854-01,39,1,3,4,1,,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000855-01,46,1,9,4,1,,2,4,3,4,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5
3202000855-02,45,2,27,4,1,,3,3,3,3,1,5,5,5,1,,1,1,5,5,5,,5,5,1,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3202000857-01,27,1,27,4,5,5,3,4,3,4,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3202000860-01,21,2,3,4,1,,3,1,4,3,1,5,5,5,5,5,1,5,5,5,1,5,5,1,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000861-01,26,2,8,4,1,,2,2,2,4,1,1,,1,5,5,1,1,1,5,1,1,1,,,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,5
3202000862-01,60,2,19,4,3,5,1,4,1,4,1,1,,5,5,5,1,1,1,5,5,,1,,,1,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5
3202000863-01,70,2,36,4,1,,3,5,1,4,1,1,,5,5,5,1,1,5,5,1,5,5,5,1,5,1,5,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3202000863-02,69,1,37,4,1,,3,2,3,4,1,1,,1,1,,1,1,5,1,1,1,1,,,1,1,5,5,1,5,1,5,5,5,1,5,5,1,,,5,5
3202000864-01,45,1,21,4,2,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000865-01,34,2,30,4,2,5,2,3,4,4,1,1,,1,5,5,1,1,1,5,1,1,1,,,1,1,5,5,1,8,1,5,5,5,5,5,5,5,5,5,5,5
3202000867-01,27,2,6,4,3,5,3,4,1,2,1,5,5,1,5,5,1,1,1,5,5,,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000868-01,43,1,1,1,1,,3,2,2,3,1,5,5,1,1,,1,1,1,5,5,,1,,,1,5,5,1,5,5,1,5,5,5,1,5,5,1,,,5,5
3202000868-02,21,2,1,4,1,,3,3,2,2,1,1,,5,5,5,1,1,5,5,5,,1,,,1,5,5,5,1,5,1,1,,5,8,8,5,5,5,5,5,5
3202000870-01,35,1,11,4,1,,3,2,2,1,1,5,5,5,5,5,1,5,1,5,5,,1,,,1,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000870-02,33,2,10,4,1,,3,1,1,3,1,1,,5,5,5,1,5,5,5,5,,1,,,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000873-01,40,2,6,4,1,,3,1,1,3,1,5,5,1,5,5,1,1,5,5,5,,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3202000874-01,24,2,24,4,5,5,1,1,1,3,1,5,5,5,5,5,1,1,1,5,5,,1,,,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000875-01,29,2,22,4,5,5,3,3,3,2,1,5,5,5,5,5,1,5,5,5,1,1,5,1,,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3202000877-01,62,1,32,4,1,,2,4,4,3,1,5,5,1,1,,5,1,1,5,1,1,1,,,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000879-01,61,1,24,4,1,,3,4,4,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000880-01,24,1,1,4,5,5,3,3,2,3,1,5,5,5,5,1,5,5,5,5,1,5,1,,,5,5,5,1,5,5,1,5,5,5,5,5,1,1,,,5,5
3202000881-01,32,1,22,4,5,5,1,4,3,3,1,5,5,5,5,5,5,1,1,5,1,5,5,1,,1,1,1,1,5,5,1,1,,5,1,5,5,5,5,1,5,5
3202000883-01,51,2,1,4,5,5,3,4,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3202000885-01,52,2,30,4,1,,2,2,1,3,1,5,5,5,5,1,5,5,5,5,5,,1,,,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000886-01,44,2,44,4,5,5,2,3,3,2,1,1,,1,5,1,1,1,1,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,5,1
3202000887-01,44,2,40,4,3,1,3,4,4,2,1,1,,5,5,1,1,1,1,5,1,5,1,,,1,1,5,1,1,1,1,1,,1,5,5,5,5,5,5,1,1
3202000888-01,25,2,2,4,5,5,3,2,2,3,1,5,5,1,5,5,1,1,5,5,5,,5,5,5,1,1,5,5,5,5,1,5,1,5,1,5,5,5,5,5,1,5
3202000891-01,32,1,27,4,5,5,3,4,3,2,1,1,,5,5,5,1,5,1,5,1,5,1,,,5,5,5,5,5,1,1,5,5,1,5,5,1,1,,,5,5
3202000892-01,30,1,19,4,5,5,3,2,1,3,1,5,5,5,5,1,5,1,5,5,5,,1,,,1,5,5,5,5,5,1,1,,5,8,5,5,1,,,5,5
3202000893-01,35,1,15,3,1,,3,3,3,3,1,5,5,5,1,,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,1,5,8,8,8,1,,,5,5
3202000894-01,49,1,11,4,1,,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000895-01,22,2,12,4,5,5,3,4,1,4,1,5,5,1,1,,5,5,5,5,5,,5,1,,1,5,1,5,1,1,1,5,1,5,5,5,5,5,5,5,5,5
3202000896-01,39,2,1,4,5,1,3,4,2,2,1,1,,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,5,5,5,5,5,5,1,1
3202000897-01,57,2,10,4,5,1,3,2,2,3,1,1,,5,5,5,5,1,5,5,5,,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
3202000898-01,43,2,6,4,1,,3,3,3,4,1,5,5,1,1,,1,1,1,5,1,1,1,,,5,5,5,5,1,1,1,1,,1,1,5,5,5,5,5,1,5
3202000899-01,24,2,4,4,1,,3,2,1,3,1,5,5,1,5,5,1,5,5,5,5,,5,5,5,1,1,5,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5
3202000900-01,44,2,12,4,1,,3,4,1,4,1,8,1,5,5,5,1,1,1,5,5,,1,,,1,5,1,5,5,5,1,5,1,5,1,5,1,1,,,5,5
3202000901-01,58,2,25,4,4,5,2,4,4,4,1,1,,5,5,5,1,1,1,5,1,5,1,,,1,1,5,1,1,1,1,5,1,1,5,5,5,5,5,5,5,5
3202000904-01,34,1,1,3,1,,2,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000906-01,61,1,34,4,1,,2,4,1,1,1,5,5,5,1,,1,1,5,5,1,5,1,,,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5
3202000907-01,25,2,2,4,1,,3,3,3,3,1,5,5,5,1,,1,1,5,5,1,5,1,,,1,1,1,5,1,5,1,5,1,5,5,5,5,5,5,1,1,5
3202000909-01,48,2,13,4,2,5,3,2,2,1,1,1,,5,1,,1,1,5,5,5,,1,,,1,5,1,5,1,1,1,1,,5,5,5,5,5,5,5,5,1
3202000911-01,31,2,24,4,5,5,3,3,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000913-01,57,1,35,4,1,,2,4,2,4,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000914-01,25,1,20,4,5,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000915-01,33,1,10,4,5,5,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000916-01,25,1,3,3,1,,2,3,3,3,1,5,5,1,1,,1,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3202000918-01,41,2,15,4,5,5,2,3,3,3,1,5,5,5,5,5,1,1,5,5,1,5,5,5,1,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5
3202000919-01,47,2,18,4,5,5,1,1,3,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,5,5
3202000920-01,25,2,1,4,1,,3,3,3,3,1,5,5,5,1,,1,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000921-01,51,2,3,4,1,,1,3,3,3,1,5,5,1,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5
3202000923-01,29,2,10,4,1,,3,1,1,1,1,1,,1,1,,1,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000925-01,37,1,6,4,1,,3,3,3,3,1,5,5,1,5,5,1,5,5,5,5,,5,1,,1,5,5,5,5,5,1,5,5,5,5,5,5,1,,,5,5
3202000926-01,42,1,4,3,2,5,1,2,2,3,1,5,5,1,1,,1,1,1,5,5,,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000930-01,60,1,33,4,1,,3,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000931-01,32,2,7,4,1,,3,3,3,2,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1
3202000934-01,22,2,5,4,2,5,3,3,3,1,1,1,,5,5,5,1,1,1,5,5,,1,,,1,1,1,1,1,1,1,5,1,1,5,1,1,5,5,5,1,5
3202000936-01,36,2,4,4,5,1,1,4,1,5,1,1,,5,1,,5,1,5,1,5,,1,,,1,1,1,5,1,1,1,1,,1,5,5,5,1,,,5,5
3202000937-01,38,1,38,4,1,,2,3,3,3,1,1,,1,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,1,5,1,5,5,5,1,5,5,5,5,1,5,5
3202000938-01,72,1,5,4,1,,2,3,3,4,1,1,,1,1,,1,1,1,5,1,1,1,,,5,5,5,5,5,5,5,5,5,5,5,5,1,1,,,5,5
3202000941-01,31,1,2,4,5,1,3,4,1,3,1,5,5,5,1,,1,5,5,5,5,,5,5,5,5,5,1,1,1,5,1,5,5,5,5,5,1,5,5,5,5,5
3202000942-01,21,1,8,3,5,1,1,2,1,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000943-01,19,1,8,4,5,5,1,3,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000944-01,30,1,3,4,5,5,3,3,3,3,1,1,,5,1,,1,1,5,5,5,,5,1,,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5
3202000945-01,40,2,4,4,1,,2,4,3,4,1,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000946-01,41,2,15,4,1,,3,4,4,3,1,1,,5,5,5,1,1,1,5,1,1,5,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000947-01,25,1,4,4,5,5,3,3,1,3,1,5,5,1,1,,5,5,5,5,5,,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5
3202000949-01,49,1,16,4,1,,3,4,4,2,1,1,,5,5,5,1,1,1,5,1,5,5,5,5,5,5,5,5,1,5,1,1,,1,5,5,5,5,5,5,5,5
3202000949-02,40,2,19,4,1,,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3202000950-01,55,1,23,4,1,,1,4,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
3202000951-01,28,1,28,4,5,5,1,3,2,3,1,5,5,1,5,5,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,5,5
3202000952-01,70,1,5,4,1,,2,1,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3202000952-02,68,2,5,4,1,,3,4,3,2,1,1,,5,5,5,1,1,5,5,5,,1,,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000953-01,35,1,2,4,1,,1,2,2,3,1,5,5,1,5,1,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000954-01,53,1,2,4,2,1,3,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,1,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3202000955-01,31,1,2,4,5,5,3,3,3,3,1,5,5,1,1,,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3202000956-01,55,2,32,4,3,5,1,4,3,4,1,1,,5,5,5,1,1,1,5,1,5,1,,,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,5
3202000957-01,66,2,42,4,1,,3,4,4,4,1,5,5,5,5,5,5,1,5,5,5,,5,5,5,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000958-01,18,2,18,4,5,5,3,4,4,4,1,5,5,1,1,,1,1,1,5,1,1,5,5,5,1,1,5,5,5,5,1,1,,1,5,5,5,1,,,5,1
3202000959-01,34,2,5,3,1,,3,3,2,3,1,5,1,5,5,5,1,1,5,5,1,5,5,1,,1,5,5,5,1,8,1,5,5,5,5,5,5,5,5,5,1,1
3202000961-01,57,1,18,4,1,,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000962-01,39,1,6,4,1,,1,4,3,3,1,1,,5,5,5,5,1,1,5,1,5,5,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000964-01,33,1,3,4,1,,3,3,3,2,1,1,,5,5,5,1,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,8,5
3202000966-01,28,1,15,4,5,5,3,2,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000967-01,26,1,3,4,5,5,3,1,1,3,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000968-01,20,1,20,4,5,5,3,2,2,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000969-01,41,2,20,4,1,,1,3,3,3,1,5,5,5,5,5,1,1,5,5,5,,5,5,5,5,5,5,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5
3202000970-01,52,2,20,4,5,5,2,3,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000971-01,25,2,2,4,5,1,1,4,1,1,1,5,5,5,5,5,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,5
3202000972-01,44,2,16,4,1,,3,3,3,4,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,1,1,1,,5,5,5,5,5,5,5,5,5
3202000973-01,43,1,10,4,1,,2,4,3,3,1,5,5,5,1,,5,1,5,5,1,5,1,,,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3202000977-01,25,1,1,4,5,5,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3202000978-01,65,1,3,4,1,,1,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5
3202000981-01,53,2,1,3,5,5,1,3,3,2,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,8,5,5,5,5,5,5
3202000983-01,35,2,5,4,5,5,1,3,2,2,1,5,1,5,1,,1,1,1,5,1,1,1,,,5,5,5,1,5,5,1,1,,5,5,5,5,5,5,5,5,5
3202000984-01,42,2,7,4,2,5,3,3,3,3,1,5,1,5,5,5,1,1,5,5,5,,1,,,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000985-01,46,1,25,4,2,1,1,3,3,4,1,5,1,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000986-01,61,2,3,4,2,5,3,4,2,3,1,1,,1,5,1,1,1,1,5,1,5,1,,,1,1,1,1,1,1,1,1,,1,5,1,1,5,5,5,1,5
3202000987-01,25,1,1,4,5,1,3,3,2,3,1,5,5,5,1,,1,1,1,5,1,5,1,,,1,5,1,5,5,1,1,1,,1,1,5,5,1,,,1,5
3202000988-01,29,1,6,3,5,1,3,2,2,2,1,1,,5,5,5,1,1,1,5,1,5,1,,,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000991-01,55,2,20,4,1,,2,3,3,1,1,1,,1,1,,1,1,1,5,1,1,1,,,1,1,5,1,5,5,1,1,,1,1,5,1,5,5,5,5,1
3202000992-01,35,2,16,4,2,5,3,1,2,1,1,5,1,5,5,5,1,1,5,5,1,5,1,,,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,1
3202000993-01,58,2,38,4,4,5,1,4,4,4,1,5,5,5,5,5,1,5,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3202000994-01,39,1,32,4,4,5,1,2,2,4,1,5,5,1,1,,1,1,5,5,1,5,1,,,5,5,5,5,5,5,5,1,,5,1,1,1,5,5,5,5,1
3202000995-01,33,2,13,4,1,,2,2,2,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3202000998-01,51,1,5,4,1,,2,3,2,2,1,1,,5,5,1,1,1,1,5,5,,1,,,1,5,5,5,1,5,1,5,1,5,5,5,5,5,5,1,5,5
