SAMPLEID,SC1,SC1_1,SC2,SC2A,SC3,SC3A,SC7,SC8_1,SC8_2,SC9,SC19,SC20,SC20A,SC20_1,SC20_2,SC20_3,SC21,SC22,SC23,SC24,SC25,SC25A,SC26,SC26A,SC26B,SC27A,SC27B,SC27C,SC27D,SC27E,SC27F,SC28,SC29,SC29A,SC30,SC31,SC32,SC33,SC33_1,SC33_2,SC33_3,SC34,SC35
3201000039-01,42,1,3,4,5,1,1,3,5,3,1,1,,5,5,5,1,1,1,5,1,5,1,,,5,5,5,5,1,5,1,1,,5,5,1,5,5,5,5,5,5
3201000040-01,49,1,5,4,1,,3,3,3,3,1,1,,5,5,5,5,1,5,5,5,,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000041-01,24,1,5,4,1,,3,2,1,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000042-01,68,1,40,4,5,5,3,2,1,1,1,5,5,5,5,5,5,5,5,5,5,,1,,,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000043-01,44,2,13,4,3,1,3,4,4,4,1,1,,5,1,,1,1,1,5,1,1,1,,,1,1,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5
3201000045-01,25,2,5,4,1,,1,4,3,3,1,1,,1,1,,1,1,1,1,1,1,1,,,1,1,1,5,1,1,1,1,,1,1,5,5,1,,,1,1
3201000046-01,25,2,1,4,3,5,3,4,4,4,1,5,5,5,5,1,1,1,1,5,5,,1,,,1,1,5,5,5,5,1,5,5,5,5,5,1,5,5,5,1,5
3201000047-01,33,2,7,3,1,,1,3,3,1,1,1,,1,1,,1,1,1,1,1,5,1,,,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
3201000048-01,58,2,20,4,5,5,3,4,3,5,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,1,5,1,5,5,1,1,,1,1,5,5,1,,,5,5
3201000049-01,44,1,6,4,2,1,1,3,3,3,1,1,,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000049-02,44,2,6,4,2,1,1,3,3,4,1,1,,5,5,5,1,1,1,5,1,5,1,,,1,1,1,1,1,5,1,1,,1,5,5,5,5,5,5,5,5
3201000050-01,31,1,2,4,1,,3,2,4,3,1,5,1,1,1,,5,1,5,5,1,1,1,,,5,5,5,5,1,5,1,1,,5,5,5,5,5,5,5,5,5
3201000051-01,39,1,17,4,1,,3,4,4,2,1,5,1,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000052-01,46,1,21,4,3,5,2,2,1,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000053-01,31,1,1,4,5,5,3,1,1,3,1,5,5,1,1,,1,1,1,5,1,5,1,,,5,5,1,5,1,5,1,5,5,5,5,1,1,1,,,5,5
3201000054-01,28,1,4,4,1,,3,3,2,3,1,5,5,5,5,1,5,5,5,5,1,5,5,1,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000055-01,25,2,5,4,2,5,1,2,1,2,1,5,5,1,1,,1,1,1,5,1,1,1,,,1,5,5,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3201000056-01,36,2,1,4,2,1,3,3,4,2,1,5,5,5,5,1,1,1,1,5,1,1,5,1,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000058-01,21,2,4,4,1,,3,1,2,3,1,1,,5,5,5,1,1,5,5,5,,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000058-02,23,1,4,4,1,,3,4,3,3,1,5,5,1,1,,1,5,5,5,5,,1,,,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
